id;from1;comment1;date1;testcountry
1;Veggo93;learned so much information from this tour,but because our group had to leave early, we missed the end of the tour:( It is my mission to return to Sofia, so Kristian can show me the rest of the tour.;19.04.2011;Ireland
2;Mario Vicente;Definately, you have to go. During my tryps i dont usually take tours, but definately it was a nice choice.;17.04.2011;Spain
3;Ann Cederhall;Great tour of Sofia. It was like strolling around with a friend rather than a tour. I'd recommend it to anyone visiting Sofia;19.04.2011;Sweden
4;MissP073;I found it incredibly helpful. I believe that the young people who offer this great opportunity to tourists are to commend, as they are also a non-profit organization. I strongly recommend this tour to people who visit Sofia.;13.04.2011;Italy
5;Gutberg;Professional, dedicated and full of interesting sites/facts. I really appreciated the tour and time these people put into showing such a beautiful old city. Thanks to the team there for making this possible.;14.01.2011;Finland
6;Jugglesfire;Absolute Must in Sofia. Our guide Kristian was one of the best tour guides that I have ever met.;09.03.2011;Finland
7;Balaabiraman;A traveller's must do agenda item in Sofia. Two hours felt like two minutes. It was just amazing! The guide was very knowledgeable and had pride over her hometown. This is a real value for money. However, it's free.;12.02.2011;United States
8;GizmoCairo;The tour was informative and it gave us a good insight as to those that we should visit in more detail later on. We would definitely recommend this Free Sophia Tour to everyone who arrives in the city. We thought it was a good idea to take the tour on the day of our arrival, so that we could then plan the rest of our stay around those sights we wanted to spend more time investigating.;09.02.2011;Egypt
9;RachelD68;Don't miss it! I would highly recommend this tour. Vanya our guide was really lovely. Her English was excellent and she was so enthusiastic and knowledgeable about her city.  ;31.01.2011;UK
10;Lanslide03;While the weather was freezing, I am very happy to have gone on the tour.;04.02.2011;Canada
11;Angibbons;Best memory of Bulgaria. If you are in Sofia please dont miss this great opportunity. You wont regret it!;27.01.2011;Germany
12;Globalite771011;"Don't miss this tour. What could be better; it is a great tour with someone who is knowledgeable and passionate about the subject, ther are wonderful sights, and it is free .";20.01.2011;Finland
13;William Huang;Highlight of visit to Sofia. Took this tour with Boyko and highly recommend it to anybody visiting Sofia. I suggest you take it early in your visit because the guides provide a wealth of information. ;07.01.2011;United States
14;Watzat;Kristian and Vanya were wonderful guides and full of information. Not only did they take us everywhere and give us the history but they offered a fun and friendly experience, so much that none of us wanted the night to end.;09.12.2010;Australia
15;Evelyn Hoyle;We walked for a little more than 2 hours and our guide, Deni, was great. I could not have seen the water fountain and chanced upon interested activities if not for wanting to join the tour.;02.05.2011;UK
16;Arwyn_M;Our guide, Boyko, was incredibly knowledgeable and friendly. We learned so much! Sofia is a fascinating city and it would have been a shame to miss out on all its history, Roman ruins, and interesting restaurants. ;07.12.2010;Canada
17;Eva Toth;Our family loved it! Thank you Misha again, it was a great way to learn about your beautiful city.;31.05.2011;Australia
